name,district,latitude,longitude,type
Adarsh Nagar,Tamil Nadu,13.0305452,77.609433,neighborhood
Adasolai,Tamil Nadu,11.4400658,76.718152,village
Adavai Palayam,Tamil Nadu,10.8207238,78.6068559,village
Adavathur,Tamil Nadu,10.816361,78.619017,village
Adavi Budugur,Tamil Nadu,12.6564046,78.4319202,village
Adavi Budugur Bus Stop,Tamil Nadu,12.6579539,78.4317485,bus_stop
Adavi Chambakuru,Tamil Nadu,13.3914196,78.3501794,village
Adavigollavarahalli,Tamil Nadu,13.445723,77.7762045,village
Adavikothuru,Tamil Nadu,13.3387531,79.5505744,village
Adavumaram,Tamil Nadu,10.5990469,76.7638009,neighborhood
Adayapulam,Tamil Nadu,12.7116418,79.2692327,village
Addagatu tanda,Tamil Nadu,12.7779665,78.5252563,village
Addareddikundriga,Tamil Nadu,13.3598846,79.2390813,village
Addekoppa,Tamil Nadu,13.4827632,77.6034978,village
Addiganahalli,Tamil Nadu,13.1735343,77.5700547,village
Addihalli,Tamil Nadu,12.9788796,76.2359787,village
Adhanakkottai,Tamil Nadu,10.59461,79.17157,village
Adhanur,Tamil Nadu,10.1831969,78.7496138,village
Adhanur,Tamil Nadu,10.6140731,79.6330958,village
Adhanur,Tamil Nadu,11.1849144,78.9985875,village
Adhigudi,Tamil Nadu,10.8739678,78.857171,village
Adhikaripalle,Tamil Nadu,13.1452646,78.9999691,village
Adhikaripatti,Tamil Nadu,10.3510589,78.1000467,village
Adhimadhayanur,Tamil Nadu,11.1875745,76.807217,village
Adhivaragapuram,Tamil Nadu,13.135166,79.4412419,village
Adhiyambanallur,Tamil Nadu,10.9961628,79.3123338,village
Adibettahalli,Tamil Nadu,12.1359313,76.9135647,village
Adiceri,Tamil Nadu,10.6958845,79.3279426,village
Adichanalloor,Tamil Nadu,8.8805138,76.7118791,village
Adichanallur,Tamil Nadu,8.8618736,76.7052829,village
Adichanallur,Tamil Nadu,8.633377,77.890907,village
Adichapuram,Tamil Nadu,10.63575,79.54153,village
Adichil Thotty,Tamil Nadu,10.275073,76.8113825,village
Adichunchanagiri,Tamil Nadu,13.0239739,76.7440123,neighborhood
Adiganahalli,Tamil Nadu,12.3048806,76.2302277,village
Adigondanahalli,Tamil Nadu,12.8141478,77.7518992,village
Adigāmanallūr,Tamil Nadu,12.6624894,80.1669359,village
Adihalli,Tamil Nadu,13.1110191,76.4326803,village
Adihalli,Tamil Nadu,13.297097,76.3256439,village
Adikala Annai Nagar,Tamil Nadu,10.7755489,78.7249755,neighborhood
Adikekere Hosuru,Tamil Nadu,12.8224536,76.3431773,village
Adilakshmamba Puram,Tamil Nadu,13.1249147,79.2013452,village
Adilakshmi Nagara,Tamil Nadu,13.276553,76.4835387,village
Adimalathura,Tamil Nadu,8.3554461,77.0199866,village
Adimali,Tamil Nadu,10.0144274,76.9554575,town
Adimali bus stand,Tamil Nadu,10.0150205,76.9532799,bus_stop
Adimaly prvt.stand,Tamil Nadu,10.014967,76.9530181,bus_stop
Adinapalli,Tamil Nadu,12.9616096,78.4856107,village
Adinarayana Hosahalli,Tamil Nadu,13.2788452,77.5923749,village
Adinayakanahalli,Tamil Nadu,13.3238557,76.4953085,village
Adinipatti,Tamil Nadu,10.5208515,78.758111,village
Adipuliyur,Tamil Nadu,10.8882596,79.4932448,village
Adiputhucheri,Tamil Nadu,10.7797252,79.6803813,village
Adirampattinam,Tamil Nadu,10.3392847,79.3856345,town
Adirampattinam,Tamil Nadu,10.3433359,79.3823952,town
Adithya Nagar,Tamil Nadu,10.7849607,76.377637,neighborhood
Adithyanagara,Tamil Nadu,13.0857328,77.5511706,neighborhood
Aditya Layout,Tamil Nadu,12.9266771,77.5249278,neighborhood
Adivad,Tamil Nadu,10.0240216,76.657133,village
Adivaram,Tamil Nadu,11.4849767,76.0126133,town
