name,type,latitude,longitude,district,state,osm_id
Panniyur,hamlet,10.0751463,79.0151095,Unknown,Tamil Nadu,6439682692
Kamalakudi,hamlet,10.0509394,79.0326995,Unknown,Tamil Nadu,6439739886
Mainakkudi,hamlet,10.0386372,79.049871,Unknown,Tamil Nadu,6439764095
Poongudi,hamlet,10.0586881,79.0563726,Unknown,Tamil Nadu,6439764096
Karuppur,hamlet,10.0494446,79.0486478,Unknown,Tamil Nadu,6439764097
Mavayal,hamlet,10.0737546,79.063687,Unknown,Tamil Nadu,6502557405
Tumbottidal,hamlet,10.0684385,79.0792036,Unknown,Tamil Nadu,6502574043
Karungkadu,hamlet,10.0706569,79.0747404,Unknown,Tamil Nadu,6502574044
Sevittantiyenthal,hamlet,10.0740636,79.0873897,Unknown,Tamil Nadu,6502597346
Settikkadu,hamlet,10.1003285,79.123621,Unknown,Tamil Nadu,6502726219
Sirukasavayal,hamlet,10.0768998,79.1237068,Unknown,Tamil Nadu,6502738193
Kallakathan ad colony,hamlet,10.0724685,79.1294843,Unknown,Tamil Nadu,6502738194
Poovalur Vadavayal,hamlet,10.0549168,79.1015839,Unknown,Tamil Nadu,6506824120
Kallarkottai,hamlet,10.0222379,79.0636065,Unknown,Tamil Nadu,6506964103
Vennivayal,hamlet,10.0310834,79.0389919,Unknown,Tamil Nadu,6507020012
Idateruvu,hamlet,10.0386372,79.0396786,Unknown,Tamil Nadu,6507020013
Mel Kudiyiruppu,hamlet,10.0222089,79.0049171,Unknown,Tamil Nadu,6512047129
Kkeelakudiyiruppu,hamlet,10.0187012,79.0150237,Unknown,Tamil Nadu,6512047130
Rajanganaya Junction - Saliyapura,hamlet,8.2097113,80.1072099,Unknown,Tamil Nadu,6598934763
Kottakuzhi,hamlet,9.3795016,76.8675721,Unknown,Tamil Nadu,6622418658
Muddanahalli,hamlet,12.0787393,76.4451992,Unknown,Tamil Nadu,6652705135
Avaragere,hamlet,12.1579999,76.4404839,Unknown,Tamil Nadu,6652705222
Muddanahalli Koppalu,hamlet,12.2617288,76.1150837,Unknown,Tamil Nadu,6653266180
Satyamangala,hamlet,11.9004696,77.3416525,Unknown,Tamil Nadu,6677287032
Muntipalya,hamlet,11.9666163,77.0979738,Unknown,Tamil Nadu,6677320156
Tenganayakanahalli,hamlet,12.5315182,77.3448095,Unknown,Tamil Nadu,6688977477
Chikka Kallahalli,hamlet,12.9114714,78.0006766,Krishnagiri,Tamil Nadu,6699236779
Oppacchahalli,hamlet,12.8777696,77.9360461,Krishnagiri,Tamil Nadu,6699236780
Chattaguttahalli,hamlet,12.7808562,78.15853,Krishnagiri,Tamil Nadu,6702682302
Nadagummanahalli,hamlet,12.78597,78.1529751,Krishnagiri,Tamil Nadu,6702682303
Kotthuru,hamlet,13.0056606,78.3418965,Unknown,Tamil Nadu,6710564140
Shettikunte,hamlet,12.9331542,78.3802038,Krishnagiri,Tamil Nadu,6710564156
Tambarahalli,hamlet,13.0782712,78.2856882,Unknown,Tamil Nadu,6713023105
Upasapura,hamlet,12.8876322,78.1328344,Krishnagiri,Tamil Nadu,6716304983
Venkatapura,hamlet,13.1480971,78.4306562,Unknown,Tamil Nadu,6720437653
Kagganahalli,hamlet,13.1033748,78.3599022,Unknown,Tamil Nadu,6720437654
Tatighatta,hamlet,13.2492872,78.4362352,Unknown,Tamil Nadu,6727516276
Ethurahalli,hamlet,13.066275,78.5037692,Unknown,Tamil Nadu,6727516359
Hosuru,hamlet,13.3517139,78.1267083,Unknown,Tamil Nadu,6738797698
Jangamapura,hamlet,13.2902944,78.0247951,Unknown,Tamil Nadu,6738797699
Jidarahalli,hamlet,13.3010384,78.0532855,Unknown,Tamil Nadu,6738797700
Karahalli,hamlet,13.1619398,78.2187509,Unknown,Tamil Nadu,6762120176
Karadaguru,hamlet,13.0804972,78.4101373,Unknown,Tamil Nadu,6775430070
Deverakondanahalli,hamlet,13.4259122,77.5590885,Unknown,Tamil Nadu,6796455293
ವಡ್ಡರಪಾಳ್ಯ,hamlet,13.3292015,77.5538689,Unknown,Tamil Nadu,6800069778
Konenahalli,hamlet,13.3339933,77.3935479,Unknown,Tamil Nadu,6800069806
