name,type,latitude,longitude,osm_id
Changaramkulam Bus Stand,bus_stop,10.7348497,76.0277551,8890580917
Bus Stand Edavanna,bus_stop,11.215243,76.1398117,8956159663
Sholavandhan Bus Stand,bus_stop,10.0225951,77.9636506,8994602010
Veppa Maram bus stop,bus_stop,10.0183132,77.9628136,9034584853
KSRTC Bus Stand,bus_stop,10.0602479,76.6291446,9048625822
Thiruppathu Bus Stand,bus_stop,10.1105306,78.5999785,9052554617
Vadakke stand,bus_stop,10.5304435,76.2147787,9072639517
chungam,bus_stop,10.6572579,76.5006814,9097073646
Alanallur bus stand,bus_stop,11.007082,76.3521941,9123553246
Valliyur bus stand,bus_stop,8.3874272,77.609905,9283075817
KSRTC Bus Stand,bus_stop,10.215129,76.200802,9284804417
Anakaputhur Bus Stand,bus_stop,12.9852524,80.1230797,9331600151
Aasanur,bus_stop,11.6742732,77.1285437,9345529190
Sathyamangalam,bus_stop,11.498625,77.2455948,9346299137
